Date,Description, (GBP) Amount ,Transaction Type,Bank,Category 1,
15/05/2023,SAINSBURYS WAPPING LON LONDON GBR, -£2.00 ,Outgoing,Monzo,Groceries,
15/05/2023,Zettle_*Wapping Sourdo London GBR, -£4.00 ,Outgoing,Monzo,Food and Dining,
15/05/2023,PRET A MANGER LONDON GBR, -£4.75 ,Outgoing,Monzo,Food and Dining,
14/05/2023,TESCO STORES 5655 EDGWARE GBR, -£3.30 ,Outgoing,Monzo,Groceries,
14/05/2023,Namaste London GBR, -£23.00 ,Outgoing,Monzo,Unknown,
14/05/2023,CRO INTERNET MLT (pending), -£0.10 ,Outgoing,Monzo,Internet Services,
14/05/2023,TGC ST KATHERINES LONDON GBR, -£4.00 ,Outgoing,Monzo,TGI (unknown),
13/05/2023,TESCO STORES 5781 BARNET GBR, -£1.15 ,Outgoing,Monzo,Groceries,
13/05/2023,TESCO STORES 5781 BARNET GBR, -£10.25 ,Outgoing,Monzo,Groceries,
13/05/2023,TESCO STORES 6042 LONDON GBR, -£3.90 ,Outgoing,Monzo,Groceries,
13/05/2023,VODAFONE MOTO NEWBURY GBR, -£66.26 ,Outgoing,Monzo,Telecommunications,
13/05/2023,Ms M Cambridge (Faster Payments), -£40.00 ,Outgoing,Monzo,Transfer,
12/05/2023,MAXINE PATRICIA CAMBRIDGE (Faster, £300.00 ,Income,Monzo,Transfer,
12/05/2023,Ms M Cambridge (Faster Payments), -£40.00 ,Outgoing,Monzo,Transfer,
12/05/2023,WAITROSE LONDON GBR, -£5.80 ,Outgoing,Monzo,Groceries,
12/05/2023,Zettle_*Wapping Sourdo London GBR, -£5.50 ,Outgoing,Monzo,Food and Dining,
12/05/2023,PRET A MANGER LONDON GBR, -£2.99 ,Outgoing,Monzo,Food and Dining,
11/05/2023,Schuh Wood Green London GBR, -£27.99 ,Outgoing,Monzo,Retail,
11/05/2023,PAK COSMETIC CENTRE LONDON GBR, -£5.97 ,Outgoing,Monzo,Beauty and Personal Care,
11/05/2023,PAK COSMETIC CENTRE LONDON GBR, -£17.98 ,Outgoing,Monzo,Beauty and Personal Care,
11/05/2023,Finishing Touches London GBR, -£7.99 ,Outgoing,Monzo,Beauty and Personal Care,
11/05/2023,Braggs School Wear North Finchle GBR, -£65.10 ,Outgoing,Monzo,Clothing,
11/05/2023,CLAIRE'S ACCESSORIES EDGWARE GBR, -£18.00 ,Outgoing,Monzo,Retail,
11/05/2023,Care Chemist Boreham Wood GBR, -£1.00 ,Outgoing,Monzo,Pharmacy,
11/05/2023,Ms M Cambridge (Faster Payments), -£80.00 ,Outgoing,Monzo,Transfer,
11/05/2023,MAXINE PATRICIA CAMBRIDGE (Faster, £300.00 ,Income,Monzo,Transfer,
10/05/2023,TESCO STORES 2126 BOREHAMWOOD GBR, -£5.50 ,Outgoing,Monzo,Groceries,
10/05/2023,Mr Leonard St.Catherine. (Faster Payments), -£200.00 ,Outgoing,Monzo,Transfer,
10/05/2023,Studioway Food & Wine Borehamwood GBR, -£6.08 ,Outgoing,Monzo,Groceries,
10/05/2023,TfL Unpaid Fares TFL.gov.uk/CP GBR (pending), -£0.10 ,Outgoing,Monzo,Transport,
10/05/2023,Ms M Cambridge (Faster Payments), -£150.00 ,Outgoing,Monzo,Transfer,
10/05/2023,Isaac Cambridge (Faster Payments), -£321.00 ,Outgoing,Monzo,Transfer,
10/05/2023,MAXINE PATRICIA CAMBRIDGE (Faster, £700.00 ,Income,Monzo,Transfer,
07/05/2023,TFL TRAVEL CH\VICTORIA, -£1.75 ,Outgoing,Monzo,Transport,
06/05/2023,TFL TRAVEL CH\VICTORIA, -£5.25 ,Outgoing,Monzo,Transport,
05/05/2023,TFL TRAVEL CH\VICTORIA, -£8.75 ,Outgoing,Monzo,Transport,
04/05/2023,ALDI 781 142 LONDON GBR, -£1.69 ,Outgoing,Monzo,Groceries,
